,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword,Year,Month,Day,Day_Of_Week,Week_Of_Year,CPA,CPC,CPL,RPC,Sales_ROI,CTR,CTR%,CVR,CVR%,LCR,LCR%,Profit,Profit%
0,Data Analytics Course,104.0,4498.0,231.88,14.0,7.0,0.07,1892.0,2024-11-16,Hyderabad,Desktop,Learn Data Analytics,2024,11,16,Saturday,46,33.13,2.23,16.56,270.29,8.16,0.02,2.31,0.07,6.73,0.5,50.0,7.16,715.94
1,Data Analytics Course,173.0,5107.0,216.84,10.0,8.0,0.05,1679.0,2024-11-20,Hyderabad,Mobile,Data Analytics Course,2024,11,20,Wednesday,47,27.1,1.25,21.68,209.88,7.74,0.03,3.39,0.05,4.62,0.8,80.0,6.74,674.3
2,Data Analytics Course,90.0,4544.0,203.66,26.0,9.0,0.1,1624.0,2024-11-16,Hyderabad,Desktop,Data Analytics Online,2024,11,16,Saturday,46,22.63,2.26,7.83,180.44,7.97,0.02,1.98,0.1,10.0,0.35,35.0,6.97,697.41
3,Data Analytics Course,142.0,3185.0,237.66,17.0,6.0,0.04,1225.0,2024-11-26,Hyderabad,Tablet,Data Analytics Training,2024,11,26,Tuesday,48,39.61,1.67,13.98,204.17,5.15,0.04,4.46,0.04,4.23,0.35,35.0,4.15,415.44
4,Data Analytics Course,156.0,3361.0,195.9,30.0,8.0,0.05,1091.0,2024-11-22,Hyderabad,Desktop,Online Data Analytic,2024,11,22,Friday,47,24.49,1.26,6.53,136.38,5.57,0.05,4.64,0.05,5.13,0.27,27.0,4.57,456.92
5,Data Analytics Course,195.0,3776.0,243.57,10.0,8.0,0.04,1315.0,2024-11-16,Hyderabad,Mobile,Data Analytics Training,2024,11,16,Saturday,46,30.45,1.25,24.36,164.38,5.4,0.05,5.16,0.04,4.1,0.8,80.0,4.4,439.89
6,Data Analytics Course,116.0,4480.0,237.79,17.0,5.0,0.04,1640.0,2024-11-06,Hyderabad,Tablet,Data Analytics Course,2024,11,6,Wednesday,45,47.56,2.05,13.99,328.0,6.9,0.03,2.59,0.04,4.31,0.29,29.0,5.9,589.68
7,Data Analytics Course,184.0,5060.0,229.61,23.0,3.0,0.02,1509.0,2024-11-24,Hyderabad,Tablet,Analytics For Data,2024,11,24,Sunday,47,76.54,1.25,9.98,503.0,6.57,0.04,3.64,0.02,1.63,0.13,13.0,5.57,557.2
8,Data Analytics Course,113.0,5434.0,215.09,27.0,4.0,0.04,1362.0,2024-11-24,Hyderabad,Tablet,Data Analytics Training,2024,11,24,Sunday,47,53.77,1.9,7.97,340.5,6.33,0.02,2.08,0.04,3.54,0.15,15.0,5.33,533.22
9,Data Analytics Course,166.0,3355.0,186.78,24.0,9.0,0.05,1029.0,2024-12-11,Hyderabad,Mobile,Online Data Analytic,2024,12,11,Wednesday,50,20.75,1.13,7.78,114.33,5.51,0.05,4.95,0.05,5.42,0.38,38.0,4.51,450.92
